trade_id,ticker,timestamp,quantity_sold,price,proceeds,realized_gain,taxes,after_tax_gain
11,BTCUSD,2012-01-07 05:30:00,0.1,6.0,0.6000000000000001,0.07100000000000006,0.021300000000000017,0.04970000000000005
12,BTCUSD,2012-01-07 06:00:00,0.1,6.0,0.6000000000000001,0.07100000000000006,0.021300000000000017,0.04970000000000005
13,BTCUSD,2012-01-07 06:30:00,0.1,6.0,0.6000000000000001,0.07100000000000006,0.021300000000000017,0.04970000000000005
14,BTCUSD,2012-01-07 07:00:00,0.1,6.0,0.6000000000000001,0.07400000000000007,0.02220000000000002,0.05180000000000005
15,BTCUSD,2012-01-07 07:30:00,0.1,6.0,0.6000000000000001,0.07400000000000007,0.02220000000000002,0.05180000000000005
16,BTCUSD,2012-01-07 08:00:00,0.1,6.0,0.6000000000000001,0.06800000000000006,0.02040000000000002,0.047600000000000045
17,BTCUSD,2012-01-07 08:30:00,0.1,6.0,0.6000000000000001,0.06800000000000006,0.02040000000000002,0.047600000000000045
18,BTCUSD,2012-01-07 09:00:00,0.1,6.0,0.6000000000000001,0.06800000000000006,0.02040000000000002,0.047600000000000045
19,BTCUSD,2012-01-07 09:30:00,0.1,6.0,0.6000000000000001,0.06800000000000006,0.02040000000000002,0.047600000000000045
20,BTCUSD,2012-01-07 10:00:00,0.1,6.0,0.6000000000000001,0.06800000000000006,0.02040000000000002,0.047600000000000045
31,BTCUSD,2012-01-09 22:30:00,0.1,6.38,0.638,-0.04200000000000004,0.0,-0.04200000000000004
32,BTCUSD,2012-01-09 23:00:00,0.1,6.38,0.638,-0.04200000000000004,0.0,-0.04200000000000004
33,BTCUSD,2012-01-10 01:00:00,0.1,6.23,0.6230000000000001,-0.05699999999999994,0.0,-0.05699999999999994
34,BTCUSD,2012-01-10 01:30:00,0.1,6.23,0.6230000000000001,-0.05699999999999994,0.0,-0.05699999999999994
35,BTCUSD,2012-01-10 02:00:00,0.1,6.23,0.6230000000000001,-0.05699999999999994,0.0,-0.05699999999999994
36,BTCUSD,2012-01-10 02:30:00,0.1,6.23,0.6230000000000001,-0.05699999999999994,0.0,-0.05699999999999994
37,BTCUSD,2012-01-10 03:00:00,0.1,6.23,0.6230000000000001,-0.05699999999999994,0.0,-0.05699999999999994
38,BTCUSD,2012-01-10 03:30:00,0.1,6.23,0.6230000000000001,-0.05699999999999994,0.0,-0.05699999999999994
39,BTCUSD,2012-01-10 04:00:00,0.1,6.3,0.63,-0.050000000000000044,0.0,-0.050000000000000044
40,BTCUSD,2012-01-10 04:30:00,0.1,6.3,0.63,-0.050000000000000044,0.0,-0.050000000000000044
51,BTCUSD,2012-01-11 13:30:00,0.1,6.25,0.625,-0.08899999999999997,0.0,-0.08899999999999997
52,BTCUSD,2012-01-11 14:00:00,0.1,6.25,0.625,-0.08499999999999996,0.0,-0.08499999999999996
53,BTCUSD,2012-01-11 14:30:00,0.1,6.25,0.625,-0.08499999999999996,0.0,-0.08499999999999996
57,BTCUSD,2012-01-12 21:00:00,0.1,6.6,0.66,-0.061000000000000054,0.0,-0.061000000000000054
58,BTCUSD,2012-01-12 21:30:00,0.1,6.6,0.66,-0.06000000000000005,0.0,-0.06000000000000005
59,BTCUSD,2012-01-12 22:00:00,0.1,6.6,0.66,-0.06000000000000005,0.0,-0.06000000000000005
60,BTCUSD,2012-01-12 22:30:00,0.1,6.6,0.66,-0.04999999999999993,0.0,-0.04999999999999993
61,BTCUSD,2012-01-12 23:30:00,0.1,6.51,0.651,-0.05899999999999994,0.0,-0.05899999999999994
62,BTCUSD,2012-01-13 00:00:00,0.1,6.51,0.651,-0.05899999999999994,0.0,-0.05899999999999994
63,BTCUSD,2012-01-13 00:30:00,0.1,6.51,0.651,-0.05899999999999994,0.0,-0.05899999999999994
64,BTCUSD,2012-01-13 01:00:00,0.1,6.51,0.651,-0.05899999999999994,0.0,-0.05899999999999994
65,BTCUSD,2012-01-13 01:30:00,0.1,6.51,0.651,-0.05899999999999994,0.0,-0.05899999999999994
66,BTCUSD,2012-01-13 02:00:00,0.1,6.51,0.651,-0.05899999999999994,0.0,-0.05899999999999994
68,BTCUSD,2012-01-14 06:30:00,0.1,6.4,0.6400000000000001,-0.09399999999999986,0.0,-0.09399999999999986
79,BTCUSD,2012-01-16 21:00:00,0.1,6.2,0.6200000000000001,-0.09499999999999997,0.0,-0.09499999999999997
80,BTCUSD,2012-01-16 21:30:00,0.1,6.2,0.6200000000000001,-0.09499999999999997,0.0,-0.09499999999999997
81,BTCUSD,2012-01-16 22:00:00,0.1,6.2,0.6200000000000001,-0.09499999999999997,0.0,-0.09499999999999997
82,BTCUSD,2012-01-16 22:30:00,0.1,6.2,0.6200000000000001,-0.09499999999999997,0.0,-0.09499999999999997
83,BTCUSD,2012-01-17 17:30:00,0.1,6.5,0.65,-0.06500000000000006,0.0,-0.06500000000000006
84,BTCUSD,2012-01-17 18:00:00,0.1,6.5,0.65,-0.06500000000000006,0.0,-0.06500000000000006
85,BTCUSD,2012-01-17 18:30:00,0.1,6.5,0.65,-0.06500000000000006,0.0,-0.06500000000000006
86,BTCUSD,2012-01-17 19:00:00,0.1,6.5,0.65,-0.06500000000000006,0.0,-0.06500000000000006
87,BTCUSD,2012-01-18 04:00:00,0.1,6.0,0.6000000000000001,-0.11499999999999999,0.0,-0.11499999999999999
88,BTCUSD,2012-01-18 04:30:00,0.1,6.0,0.6000000000000001,-0.11499999999999999,0.0,-0.11499999999999999
99,BTCUSD,2012-01-19 11:30:00,0.1,5.52,0.5519999999999999,-0.15800000000000003,0.0,-0.15800000000000003
100,BTCUSD,2012-01-19 12:00:00,0.1,5.52,0.5519999999999999,-0.15800000000000003,0.0,-0.15800000000000003
